Generator file sequence number,Data Year,Plant state abbreviation,Plant name,Generator ID,Generator annual net generation (MWh)
SEQGEN23,YEAR,PSTATEABB,PNAME,GENID,GENNTAN
1,2023,AK,Alakanuk,UNIT4,0
2,2023,AK,Allison Creek Hydro,GEN1,"20,961"
3,2023,AK,Ambler,1A,451
4,2023,AK,Ambler,2,338
5,2023,AK,Ambler,3,451
6,2023,AK,Angoon,1A,605
7,2023,AK,Angoon,2A,605
8,2023,AK,Angoon,3,605
9,2023,AK,Aniak,10,712
10,2023,AK,Aniak,11,593
11,2023,AK,Aniak,9,712
12,2023,AK,Annex Creek,5,"3,772"
13,2023,AK,Annex Creek,6,"4,611"
14,2023,AK,Auke Bay,13, (11)
15,2023,AK,Auke Bay,14, (126)
16,2023,AK,Auke Bay,4, (99)
17,2023,AK,Aurora Energy LLC Chena,1,"28,763"
18,2023,AK,Aurora Energy LLC Chena,2,499
19,2023,AK,Aurora Energy LLC Chena,5,"114,098"
20,2023,AK,Barrow,11,"12,947"
21,2023,AK,Barrow,12,"13,486"
22,2023,AK,Barrow,6,"6,743"
23,2023,AK,Barrow,7,"6,743"
24,2023,AK,Barrow,8,"6,743"
25,2023,AK,Battery Energy Storage System,BESS," (2,443)"
26,2023,AK,Beaver Falls,1,"7,870"
27,2023,AK,Beaver Falls,3,"17,314"
28,2023,AK,Beaver Falls,4,"17,314"
29,2023,AK,Beluga,1,27
30,2023,AK,Beluga,2,27
31,2023,AK,Beluga,3,99
32,2023,AK,Beluga,5,115
33,2023,AK,Beluga,6,129
34,2023,AK,Beluga,7,129
35,2023,AK,Bernice Lake,2,0
36,2023,AK,Bernice Lake,3,0
37,2023,AK,Bernice Lake,4,0
38,2023,AK,Bethel,1,"7,323"
39,2023,AK,Bethel,2,"7,323"
40,2023,AK,Bethel,3,"7,323"
41,2023,AK,Bethel,4,"7,323"
42,2023,AK,Bethel,6,"7,323"
43,2023,AK,Bethel,7,"7,323"
44,2023,AK,Black Bear Lake,1,"20,403"
45,2023,AK,Blue Lake Hydro,3,"26,765"
46,2023,AK,Blue Lake Hydro,4,"26,765"
47,2023,AK,Blue Lake Hydro,5,"26,765"
